% This data was collected by Sergio Giraldo, MTG, Pompeu Fabra University, 2016 (sergio.giraldo@upf.edu). If you make use of this data please refer to the following citattions:
% Giraldo, Sergio, and Ramirez, Rafael (2015). Computational modeling of ornamentation in jazz guitar music, In proc. of International Symposium in Performance Science, ISPS 2015, September, Kyoto, Japan.
% Giraldo, Sergio, and Ramirez, Rafael(2015) . Computational Generation and Synthesis of Jazz Guitar Ornaments using Machine Learning Modeling. In proc. of International Workshop in Machine Learning and Music MML 2015, August, Vancouver, Canada.

@relation Darn_that_dream_score

@ATTRIBUTE onset_b numeric
@ATTRIBUTE dur_b numeric
@ATTRIBUTE ch numeric
@ATTRIBUTE pitch numeric
@ATTRIBUTE vel numeric
@ATTRIBUTE onset_s numeric
@ATTRIBUTE dur_s numeric
@ATTRIBUTE measure numeric
@ATTRIBUTE pre_dur_b numeric
@ATTRIBUTE pre_dur_s numeric
@ATTRIBUTE nxt_dur_b numeric
@ATTRIBUTE nxt_dur_s numeric
@ATTRIBUTE pre_ionset_s numeric
@ATTRIBUTE nxt_ionset_s numeric
@ATTRIBUTE onset_b_mod numeric
@ATTRIBUTE pitch_mod numeric
@ATTRIBUTE n_simult numeric
@ATTRIBUTE prev_int numeric
@ATTRIBUTE next_int numeric
@ATTRIBUTE keyFifths numeric
@ATTRIBUTE keyMode {  }
@ATTRIBUTE note2key numeric
@ATTRIBUTE chord { A7 B5 B7 B9 Bb7 C6 C7 D7 E E7 Eb6 Eb7 F7 G G6 G7 }
@ATTRIBUTE chord_id numeric
@ATTRIBUTE chord_type { 5 6 7 9 mayor }
@ATTRIBUTE note2chord numeric
@ATTRIBUTE isChordN { n y }
@ATTRIBUTE mtr { s ss w ww }
@ATTRIBUTE nar1 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar2 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar3 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE tempo numeric
@ATTRIBUTE phrase { f i m }
@ATTRIBUTE fileName { Darn_that_dream.xml }

@data
0.000000,0.997917,1.000000,43.000000,80.000000,0.000000,0.748439,1.000000,0.000000,0.000000,0.997917,0.748439,0.000000,0.000000,0.000000,7.000000,3.000000,24.000000,11.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,ss,IR,P,P,79.999800,i,Darn_that_dream.xml
0.000000,0.997917,1.000000,54.000000,80.000000,0.000000,0.748439,1.000000,0.997917,0.748439,0.997917,0.748439,0.000000,0.000000,0.000000,6.000000,3.000000,-11.000000,5.000000,1.000000,,1.000000,G6,7.000000,6,1.000000,n,ss,P,P,SB,79.999800,m,Darn_that_dream.xml
0.000000,0.997917,1.000000,59.000000,80.000000,0.000000,0.748439,1.000000,0.997917,0.748439,0.997917,0.748439,0.000000,0.000000,0.000000,11.000000,3.000000,-5.000000,3.000000,1.000000,,4.000000,G6,7.000000,6,4.000000,y,ss,P,SB,VR,79.999800,m,Darn_that_dream.xml
0.000000,0.997917,1.000000,62.000000,80.000000,0.000000,0.748439,1.000000,0.997917,0.748439,0.997917,0.748439,0.000000,0.750002,0.000000,2.000000,3.000000,-3.000000,5.000000,1.000000,,5.000000,G6,7.000000,6,5.000000,n,ss,SB,VR,SA,79.999800,m,Darn_that_dream.xml
1.000000,0.997917,1.000000,67.000000,80.000000,0.750002,0.748439,1.000000,0.997917,0.748439,1.497917,1.123440,0.000000,1.500004,1.000000,7.000000,0.000000,-5.000000,-21.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,w,VR,SA,IR,79.999800,f,Darn_that_dream.xml
2.000000,1.497917,1.000000,46.000000,80.000000,1.500004,1.123440,1.000000,0.997917,0.748439,1.497917,1.123440,0.750002,1.500004,2.000000,10.000000,3.000000,21.000000,9.000000,1.000000,,3.000000,G6,7.000000,6,3.000000,n,s,SA,IR,P,79.999800,i,Darn_that_dream.xml
2.000000,1.497917,1.000000,55.000000,80.000000,1.500004,1.123440,1.000000,1.497917,1.123440,1.497917,1.123440,1.500004,1.500004,2.000000,7.000000,3.000000,-9.000000,6.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,s,IR,P,SB,79.999800,m,Darn_that_dream.xml
2.000000,1.497917,1.000000,61.000000,80.000000,1.500004,1.123440,1.000000,1.497917,1.123440,1.497917,1.123440,1.500004,1.500004,2.000000,1.000000,3.000000,-6.000000,2.000000,1.000000,,6.000000,G6,7.000000,6,6.000000,n,s,P,SB,VR,79.999800,m,Darn_that_dream.xml
2.000000,1.497917,1.000000,63.000000,80.000000,1.500004,1.123440,1.000000,1.497917,1.123440,0.497917,0.373438,1.500004,2.625007,2.000000,3.000000,3.000000,-2.000000,1.000000,1.000000,,4.000000,G6,7.000000,6,4.000000,y,s,SB,VR,IR,79.999800,f,Darn_that_dream.xml
3.500000,0.497917,1.000000,64.000000,80.000000,2.625007,0.373438,1.000000,1.497917,1.123440,0.997917,0.748439,1.500004,3.000008,3.500000,4.000000,0.000000,-1.000000,-19.000000,1.000000,,3.000000,Bb7,11.000000,7,7.000000,y,ww,VR,IR,P,79.999800,i,Darn_that_dream.xml
