% This data was collected by Sergio Giraldo, MTG, Pompeu Fabra University, 2016 (sergio.giraldo@upf.edu). If you make use of this data please refer to the following citattions:
% Giraldo, Sergio, and Ramirez, Rafael (2015). Computational modeling of ornamentation in jazz guitar music, In proc. of International Symposium in Performance Science, ISPS 2015, September, Kyoto, Japan.
% Giraldo, Sergio, and Ramirez, Rafael(2015) . Computational Generation and Synthesis of Jazz Guitar Ornaments using Machine Learning Modeling. In proc. of International Workshop in Machine Learning and Music MML 2015, August, Vancouver, Canada.

@relation Suite_en_la

@ATTRIBUTE onset_b numeric
@ATTRIBUTE duration_b numeric
@ATTRIBUTE ch numeric
@ATTRIBUTE pitch numeric
@ATTRIBUTE vel numeric
@ATTRIBUTE onset_s numeric
@ATTRIBUTE dur_s numeric
@ATTRIBUTE measure numeric
@ATTRIBUTE pre_dur_b numeric
@ATTRIBUTE pre_dur_s numeric
@ATTRIBUTE nxt_dur_b numeric
@ATTRIBUTE nxt_dur_s numeric
@ATTRIBUTE onset_b_mod numeric
@ATTRIBUTE pitch_mod numeric
@ATTRIBUTE simult numeric
@ATTRIBUTE prev_int numeric
@ATTRIBUTE next_int numeric
@ATTRIBUTE keyFifits numeric
@ATTRIBUTE note2key numeric
@ATTRIBUTE chord { Am }
@ATTRIBUTE chord_id numeric
@ATTRIBUTE chord_type { m }
@ATTRIBUTE note2chord numeric
@ATTRIBUTE isChordN { n }
@ATTRIBUTE mtr { ss w ww }
@ATTRIBUTE nar1 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar2 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar3 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE tempo numeric
@ATTRIBUTE phrase { f i m }
@ATTRIBUTE fileName { Suite_en_la.xml }

@data
0.000000,0.005208,1.000000,64.000000,60.000000,0.000000,0.002841,1.000000,0.000000,0.000000,0.005208,0.003472,0.000000,4.000000,5.000000,-3.000000,-5.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ss,P,IP,SB,90.000000,i,Suite_en_la.xml
0.000000,0.005208,1.000000,59.000000,60.000000,0.000000,0.002841,1.000000,0.005208,0.003472,0.005208,0.003472,0.000000,11.000000,5.000000,5.000000,-4.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ss,IP,SB,R,90.000000,m,Suite_en_la.xml
0.000000,0.005208,1.000000,55.000000,60.000000,0.000000,0.002841,1.000000,0.005208,0.003472,0.005208,0.003472,0.000000,7.000000,5.000000,4.000000,5.000000,0.000000,7.000000,Am,9.000000,m,2.000000,n,ss,SB,R,VP,90.000000,m,Suite_en_la.xml
0.000000,0.005208,1.000000,60.000000,60.000000,0.000000,0.002841,1.000000,0.005208,0.003472,0.005208,0.003472,0.000000,0.000000,5.000000,-5.000000,-14.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ss,R,VP,VR,90.000000,m,Suite_en_la.xml
0.000000,0.005208,1.000000,46.000000,60.000000,0.000000,0.002841,1.000000,0.005208,0.003472,0.005208,0.003472,0.000000,10.000000,5.000000,14.000000,5.000000,0.000000,10.000000,Am,9.000000,m,1.000000,n,ss,VP,VR,R,90.000000,m,Suite_en_la.xml
0.000000,0.005208,1.000000,51.000000,60.000000,0.000000,0.002841,1.000000,0.005208,0.003472,0.107292,0.071528,0.000000,3.000000,5.000000,-5.000000,15.000000,0.000000,3.000000,Am,9.000000,m,6.000000,n,ss,VR,R,SB,90.000000,f,Suite_en_la.xml
7.837500,0.107292,1.000000,66.000000,62.000000,4.274996,0.058523,2.000000,0.005208,0.003472,0.548958,0.365972,3.837500,6.000000,4.000000,-15.000000,-6.000000,0.000000,6.000000,Am,9.000000,m,3.000000,n,ww,R,SB,R,90.000000,i,Suite_en_la.xml
7.837500,0.548958,1.000000,60.000000,63.000000,4.274996,0.299432,2.000000,0.107292,0.071528,0.112500,0.075000,3.837500,0.000000,4.000000,6.000000,-0.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,SB,R,SB,90.000000,m,Suite_en_la.xml
7.837500,0.112500,1.000000,60.000000,68.000000,4.274996,0.061364,2.000000,0.548958,0.365972,0.186458,0.124306,3.837500,0.000000,4.000000,-0.000000,-12.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,R,SB,R,90.000000,f,Suite_en_la.xml
7.837500,0.186458,1.000000,48.000000,66.000000,4.274996,0.101704,2.000000,0.112500,0.075000,0.117708,0.078472,3.837500,0.000000,4.000000,12.000000,-0.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,SB,R,P,90.000000,i,Suite_en_la.xml
